Rate Plan Name,Device Name/Identifier,SKU / IMEI,,,,,,,,,,,,,,,,,,Phone Savings,MyTab Amount Max Limit,Trade In Promo Limit (Percentage),Offer Start Date,Offer End Date,,,,,,,,,,,,,,,,Description
Big Gig Unlimited + Talk 15GB,3PR - iPhone XS 64GB Space Grey,629258107172,,,,,,,,,,,,,,,,,,803,1379,,20-08-2019 00:00:00,08-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - iPhone XS 64GB Gold,629258107189,,,,,,,,,,,,,,,,,,803,1379,,20-08-2019 00:00:00,08-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 256GB Space Grey,190198455321,,,,,,,,,,,,,,,,,,559,1159,,08-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 256GB Silver,190198455680,,,,,,,,,,,,,,,,,,559,1159,,08-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 256GB Gold,190198456045,,,,,,,,,,,,,,,,,,559,1159,,08-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 64GB Space Grey,190198454249,,,,,,,,,,,,,,,,,,829,949,,07-08-2019 00:00:00,20-09-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 64GB Silver,190198454607,,,,,,,,,,,,,,,,,,829,949,,07-08-2019 00:00:00,20-09-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 64GB Gold,190198454966,,,,,,,,,,,,,,,,,,829,949,,07-08-2019 00:00:00,20-09-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,iPhone 8 Plus 64GB (PRODUCT RED),190198746290,,,,,,,,,,,,,,,,,,829,949,,07-08-2019 00:00:00,20-09-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - iPhone 8 Plus 64GB Space Grey,629258107042,,,,,,,,,,,,,,,,,,829,949,,07-08-2019 00:00:00,20-09-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10+ 1TB Black Ceramic,887276331225,,,,,,,,,,,,,,,,,,1249,2209,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10+ 512GB Black Ceramic,887276331195,,,,,,,,,,,,,,,,,,1030,1750,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10+ 128GB Black,887276301570,,,,,,,,,,,,,,,,,,940,1420,,08-10-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10+ 128GB White,887276311951,,,,,,,,,,,,,,,,,,940,1420,,08-10-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Galaxy S10+ 128GB Black,629258107301,,,,,,,,,,,,,,,,,,940,1420,,08-10-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10 512GB Black,887276311739,,,,,,,,,,,,,,,,,,990,1590,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10 512GB White,887276312149,,,,,,,,,,,,,,,,,,990,1590,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10 512GB Blue,887276322582,,,,,,,,,,,,,,,,,,990,1590,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10 128GB Black,887276301266,,,,,,,,,,,,,,,,,,1260,1260,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10 128GB White,887276312163,,,,,,,,,,,,,,,,,,1260,1260,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10 128GB Blue,887276322575,,,,,,,,,,,,,,,,,,1260,1260,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Galaxy S10 128GB Black,629258107295,,,,,,,,,,,,,,,,,,1260,1260,,19-12-2019 00:00:00,25-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Google Pixel 3a 64GB Just Black,842776111326,,,,,,,,,,,,,,,,,,330,570,,07-08-2019 00:00:00,31-10-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Google Pixel 3a 64GB Clearly White,842776111562,,,,,,,,,,,,,,,,,,330,570,,07-08-2019 00:00:00,31-10-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Google Pixel 3a 64GB Just Black,629258107387,,,,,,,,,,,,,,,,,,330,570,,07-08-2019 00:00:00,31-10-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Samsung Note 10+ Aura Black,887276347745,,,,,,,,,,,,,,,,,,884,1460,,19-12-2019 00:00:00,08-01-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Samsung Note 10+ Aura Black,629258107431,,,,,,,,,,,,,,,,,,884,1460,,19-12-2019 00:00:00,08-01-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Samsung Note 10+ Aura Glow,887276362144,,,,,,,,,,,,,,,,,,884,1460,,19-12-2019 00:00:00,08-01-2020 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10e 256GB Black,887276313900,,,,,,,,,,,,,,,,,,920,1160,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10e 256GB White,887276313870,,,,,,,,,,,,,,,,,,920,1160,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Galaxy S10e 256GB Blue,887276322551,,,,,,,,,,,,,,,,,,920,1160,,16-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Huawei Mate 20 Pro Twilight,886598058964,,,,,,,,,,,,,,,,,,359,1199,,08-07-2019 00:00:00,02-12-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Samsung Galaxy S9+ Grey,887276250670,,,,,,,,,,,,,,,,,,839,989,,07-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,Samsung Galaxy S9+ Purple,887276250663,,,,,,,,,,,,,,,,,,839,989,,07-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Big Gig Unlimited + Talk 15GB,3PR - Samsung S9 + Grey,629258107066,,,,,,,,,,,,,,,,,,839,989,,07-08-2019 00:00:00,22-11-2019 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,Samsung Galaxy S9 Grey,887276250861,,,,,,,,,,,,,,,,,,839,839,,09-01-2020 00:00:00,31-12-2020 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,Samsung Galaxy S9 Purple,887276250878,,,,,,,,,,,,,,,,,,839,839,,09-01-2020 00:00:00,31-12-2020 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,3PR - Samsung S9 Grey,629258107059,,,,,,,,,,,,,,,,,,839,839,,09-01-2020 00:00:00,31-12-2020 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,iPhone 8 64GB Space Grey,190198450944,,,,,,,,,,,,,,,,,,599,599,,06-12-2019 00:00:00,30-12-9999 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,iPhone 8 64GB Silver,190198451309,,,,,,,,,,,,,,,,,,599,599,,06-12-2019 00:00:00,30-12-9999 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,iPhone 8 64GB Gold,190198451668,,,,,,,,,,,,,,,,,,599,599,,06-12-2019 00:00:00,30-12-9999 00:00:00,,,,,,,,,,,,,,,,NA
Promo Big Gig Unlimited + Talk 11GB,iPhone 8 64GB (PRODUCT)RED,190198744395,,,,,,,,,,,,,,,,,,599,599,,06-12-2019 00:00:00,30-12-9999 00:00:00,,,,,,,,,,,,,,,,NA
